time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
219.25,-228.410452064,770.193423744,-2.240942398,20208.9895013123,10.2436088157309,7.10431531744996,293.400419208239,-0.21521759830805,-0.0164656505548806,-0.503529187894418,0.0327888389679915,1.89542498946547
219.3,-228.410452064,770.193423744,-2.240942398,20208.9895013123,10.2436088157309,7.10431531744996,293.397254061292,-0.21504269761673,-0.0162734700782643,-0.504296178279635,0.0327888389679915,1.89417863008949
219.35,-225.79932664,771.161996672,-2.158130923,20208.9895013123,10.2436088157309,7.10431531744996,293.397254061292,-0.21495524727107,-0.0163575490367839,-0.504775547270395,0.0327888389679915,1.89331576590613
219.4,-225.79932664,771.161996672,-2.158130923,20209.3175853018,10.2436088157309,7.10431531744996,293.394088914345,-0.21492609715585,-0.0163575490367839,-0.505926032848219,0.0326929651698394,1.89111066854863
219.45,-225.79932664,771.161996672,-2.158130923,20209.3175853018,10.2426794985188,7.1040754936533,293.394088914345,-0.21518844819283,-0.0162734700782643,-0.506597149435283,0.0326929651698394,1.88986430917265
219.5,-225.79932664,771.161996672,-2.158130923,20209.3175853018,10.2426794985188,7.1040754936533,293.390923767398,-0.21539249899937,-0.0162134136793217,-0.507076518426043,0.0326929651698394,1.88890557119113
219.55,-221.852782512,772.599661088,-1.984227779,20209.3175853018,10.2426794985188,7.1040754936533,293.394088914345,-0.21515929807761,-0.0161773798399561,-0.507651761214955,0.0325970913716874,1.887563338017
219.6,-221.852782512,772.599661088,-1.984227779,20209.3175853018,10.2426794985188,7.1040754936533,293.387758620451,-0.21545079922981,-0.0161773798399561,-0.508131130205716,0.0326929651698394,1.88670047383364
219.65,-221.852782512,772.599661088,-1.984227779,20209.3175853018,10.2426794985188,7.1040754936533,293.390923767398,-0.21501354750151,-0.0163935828761495,-0.508706372994628,0.0325970913716874,1.88526236686136
219.7,-221.852782512,772.599661088,-1.984227779,20209.9737532808,10.2426794985188,7.1040754936533,293.394088914345,-0.21492609715585,-0.0164896731144577,-0.508993994389084,0.0326929651698394,1.88430362887984
219.75,-219.184309784,773.552855968,-1.869765825,20209.9737532808,10.2431666406058,7.10387314232487,293.390923767398,-0.21507184773195,-0.0163695603165724,-0.509377489581692,0.0326929651698394,1.88286552190756
219.8,-219.184309784,773.552855968,-1.869765825,20209.9737532808,10.2431666406058,7.10387314232487,293.390923767398,-0.21521759830805,-0.016405594155938,-0.509665110976148,0.0326929651698394,1.88200265772419
219.85,-219.184309784,773.552855968,-1.869765825,20209.9737532808,10.2431666406058,7.10387314232487,293.394088914345,-0.21530504865371,-0.0162734700782643,-0.510048606168756,0.0326929651698394,1.88056455075191
219.9,-219.184309784,773.552855968,-1.869765825,20210.6299212598,10.2431666406058,7.10387314232487,293.390923767398,-0.21501354750151,-0.0162734700782643,-0.51024035376506,0.0327888389679915,1.87950993897224
219.95,-215.096876496,775.007118912,-1.778967834,20210.6299212598,10.2431666406058,7.10387314232487,293.394088914345,-0.21480949669497,-0.0162854813580528,-0.510527975159516,0.0328847127661435,1.87826357959626
220,-215.096876496,775.007118912,-1.778967834,20210.6299212598,10.2431666406058,7.10387314232487,293.397254061292,-0.21480949669497,-0.0163935828761495,-0.51071972275582,0.0329805865642955,1.87730484161474
220.05,-215.096876496,775.007118912,-1.778967834,20210.6299212598,10.243563848769,7.10367828549008,293.397254061292,-0.21480949669497,-0.0162494475186872,-0.510911470352124,0.0330764603624475,1.87596260844061
220.1,-215.096876496,775.007118912,-1.778967834,20210.6299212598,10.243563848769,7.10367828549008,293.400419208239,-0.21460544588843,-0.0164776618346691,-0.511103217948428,0.0331723341605995,1.87500387045909
220.15,-212.486056192,775.918085184,-1.757512177,20210.6299212598,10.243563848769,7.10367828549008,293.400419208239,-0.21478034657975,-0.0165257069538233,-0.511294965544732,0.0333640817569036,1.87366163728496
220.2,-212.486056192,775.918085184,-1.757512177,20210.9580052493,10.243563848769,7.10367828549008,293.400419208239,-0.21483864681019,-0.0166217971921314,-0.511390839342884,0.0333640817569036,1.87270289930344
220.25,-212.486056192,775.918085184,-1.757512177,20210.9580052493,10.243563848769,7.10358085707269,293.400419208239,-0.214284794621011,-0.0165016843942462,-0.511486713141036,0.0335558293532076,1.87136066612931
220.3,-212.486056192,775.918085184,-1.757512177,20210.9580052493,10.243563848769,7.10358085707269,293.400419208239,-0.21451799554277,-0.0167298987102281,-0.511582586939188,0.0335558293532076,1.87049780194595
220.35,-208.365776736,777.318769056,-1.75661398,20210.9580052493,10.243563848769,7.10358085707269,293.403584355186,-0.21469289623409,-0.0167419099900166,-0.51167846073734,0.0336517031513596,1.86915556877182
220.4,-208.365776736,777.318769056,-1.75661398,20211.2860892388,10.243563848769,7.10358085707269,293.406749502133,-0.21460544588843,-0.01663380847192,-0.511774334535492,0.0335558293532076,1.8681968307903
220.45,-208.365776736,777.318769056,-1.75661398,20211.2860892388,10.243563848769,7.10358085707269,293.406749502133,-0.21451799554277,-0.0167298987102281,-0.511870208333644,0.0336517031513596,1.86685459761617
220.5,-208.365776736,777.318769056,-1.75661398,20211.2860892388,10.243563848769,7.10358085707269,293.409914649079,-0.21457629577321,-0.0164416279953036,-0.511870208333644,0.0335558293532076,1.8659917334328
220.55,-205.594753176,778.250788608,-1.779852682,20211.2860892388,10.2428743553536,7.10353589011082,293.413079796026,-0.21463459600365,-0.016381571596361,-0.511966082131796,0.0334599555550556,1.86464950025867
220.6,-205.594753176,778.250788608,-1.779852682,20211.2860892388,10.2428743553536,7.10353589011082,293.413079796026,-0.21457629577321,-0.0163095039176299,-0.511966082131796,0.0334599555550556,1.8637866360753
220.65,-205.594753176,778.250788608,-1.779852682,20211.2860892388,10.2428743553536,7.10353589011082,293.416244942973,-0.21463459600365,-0.0163455377569954,-0.512061955929948,0.0333640817569036,1.86234852910302
220.7,-205.594753176,778.250788608,-1.779852682,20211.6141732283,10.2428743553536,7.10353589011082,293.416244942973,-0.21478034657975,-0.0163095039176299,-0.5121578297281,0.0332682079587516,1.86148566491966
220.75,-201.456029216,779.62340144,-1.782019034,20211.6141732283,10.2428743553536,7.10353589011082,293.41941008992,-0.21454714565799,-0.0162614587984757,-0.5121578297281,0.0331723341605995,1.86014343174553
220.8,-201.456029216,779.62340144,-1.782019034,20211.6141732283,10.2428743553536,7.10353589011082,293.416244942973,-0.214401395081891,-0.0162374362388987,-0.5121578297281,0.0330764603624475,1.85928056756216
220.85,-201.456029216,779.62340144,-1.782019034,20211.6141732283,10.2438111670593,7.10343096719978,293.41941008992,-0.214051593699251,-0.0163215151974184,-0.512061955929948,0.0330764603624475,1.85803420818618
220.9,-201.456029216,779.62340144,-1.782019034,20212.2703412073,10.2438111670593,7.10343096719978,293.416244942973,-0.21469289623409,-0.0162374362388987,-0.511870208333644,0.0330764603624475,1.85707547020466
220.95,-198.67080232,780.535771264,-1.79263721,20212.2703412073,10.2438111670593,7.10343096719978,293.416244942973,-0.21463459600365,-0.0162614587984757,-0.511582586939188,0.0329805865642955,1.85592498462684
221,-198.67080232,780.535771264,-1.79263721,20212.2703412073,10.2438111670593,7.10343096719978,293.41941008992,-0.21480949669497,-0.0162734700782643,-0.511390839342884,0.0330764603624475,1.85506212044347
221.05,-198.67080232,780.535771264,-1.79263721,20212.2703412073,10.2438111670593,7.10343096719978,293.41941008992,-0.21466374611887,-0.0164416279953036,-0.510911470352124,0.0329805865642955,1.85381576106749
